﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,23.7894,"[""circle"",""green"",""vert"",""up"",[106,-106],[0,150]]",circle,green,vert,up,"[106,-106]","[0,150]",,0,0,0,0,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[0,150]]",diamond,red,vert,up,"[-106,-106]","[0,150]",,0,1,0,1,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",circle,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,2,0,2,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.0005,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,106],[106,-106]]",diamond,green,vert,up,"[106,106]","[106,-106]",up,1,3,0,3,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.3591,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,106],[106,-106]]",diamond,red,hori,left,"[-106,106]","[106,-106]",,0,4,0,4,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[-106,106]]",diamond,red,hori,left,"[-106,-106]","[-106,106]",up,0,5,0,5,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.9681,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[-106,106]]",circle,red,hori,left,"[106,-106]","[-106,106]",,0,6,0,6,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-106,-106],[0,150]]",circle,red,hori,left,"[-106,-106]","[0,150]",,0,7,0,7,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",,0,8,0,8,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[106,106],[-106,-106]]",circle,green,vert,up,"[106,106]","[-106,-106]",up,1,9,0,9,0,1,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.5834,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[106,-106],[0,150]]",circle,green,vert,up,"[106,-106]","[0,150]",,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,space,16.5345,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[0,150]]",diamond,red,vert,up,"[-106,-106]","[0,150]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.0183,,,1,0,1,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",circle,no_dis,vert,up,"[99999,99999]","[0,-150]",,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,106],[106,-106]]",diamond,green,vert,up,"[106,106]","[106,-106]",left,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.9291,,,3,0,3,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,106],[106,-106]]",diamond,red,hori,left,"[-106,106]","[106,-106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.4274,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[-106,106]]",diamond,red,hori,left,"[-106,-106]","[-106,106]",up,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,0.9222,,,5,0,5,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[-106,106]]",circle,red,hori,left,"[106,-106]","[-106,106]",up,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.2221,,,6,0,6,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-106,-106],[0,150]]",circle,red,hori,left,"[-106,-106]","[0,150]",up,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.6865,,,7,0,7,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",up,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.2828,,,8,0,8,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[106,106],[-106,-106]]",circle,green,vert,up,"[106,106]","[-106,-106]",left,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,0.9834,,,9,0,9,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,106],[-106,106]]",diamond,green,vert,up,"[106,106]","[-106,106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.9928,,,10,0,10,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",circle,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.4855,,,11,0,11,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",circle,no_dis,hori,left,"[99999,99999]","[-150,0]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.8854,,,12,0,12,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,106],[-150,0]]",circle,red,vert,up,"[106,106]","[-150,0]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.6521,,,13,0,13,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[150,0]]",diamond,green,hori,left,"[106,106]","[150,0]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.0891,,,14,0,14,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[106,106]]",diamond,red,hori,left,"[-106,-106]","[106,106]",,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,15,0,15,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,-106],[150,0]]",diamond,green,vert,up,"[-106,-106]","[150,0]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.2353,,,16,0,16,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",circle,no_dis,hori,left,"[99999,99999]","[-150,0]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.5703,,,17,0,17,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,-106],[106,-106]]",circle,red,vert,up,"[-106,-106]","[106,-106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.0073,,,18,0,18,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,-106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.6868,,,19,0,19,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-150,0],[106,106]]",circle,red,hori,left,"[-150,0]","[106,106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.6233,,,20,0,20,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.4639,,,21,0,21,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,22,0,22,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-106,-106],[106,-106]]",circle,red,hori,left,"[-106,-106]","[106,-106]",up,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.5504,,,23,0,23,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,-106],[0,150]]",diamond,green,hori,left,"[-106,-106]","[0,150]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.1931,,,24,0,24,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[-106,106]]",circle,red,hori,left,"[0,-150]","[-106,106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.625,,,25,0,25,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,-106],[-150,0]]",circle,red,vert,up,"[-106,-106]","[-150,0]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.3384,,,26,0,26,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[106,-106]]",circle,green,vert,up,"[0,-150]","[106,-106]",left,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.1191,,,27,0,27,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[-106,-106]",,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,28,0,28,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",circle,no_dis,hori,left,"[99999,99999]","[-150,0]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.0531,,,29,0,29,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,-106],[0,150]]",diamond,green,hori,left,"[106,-106]","[0,150]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.8895,,,30,0,30,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,-106],[-106,106]]",diamond,green,vert,up,"[-106,-106]","[-106,106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.2953,,,31,0,31,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[106,-106]]",diamond,red,hori,left,"[-106,-106]","[106,-106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,0.6714,,,32,0,32,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,-106],[150,0]]",circle,red,vert,up,"[-106,-106]","[150,0]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.3557,,,33,0,33,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",circle,no_dis,hori,left,"[99999,99999]","[106,106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,0.7207,,,34,0,34,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,106],[0,-150]]",diamond,green,vert,up,"[-106,106]","[0,-150]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,0.7274,,,35,0,35,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,-150],[106,-106]]",diamond,green,hori,left,"[0,-150]","[106,-106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.0696,,,36,0,36,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,-106],[-150,0]]",diamond,green,vert,up,"[-106,-106]","[-150,0]",,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,37,0,37,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",circle,no_dis,hori,left,"[99999,99999]","[150,0]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,0.806,,,38,0,38,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",circle,no_dis,hori,left,"[99999,99999]","[106,106]",up,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,0.6403,,,39,0,39,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,-106],[106,-106]]",circle,red,vert,up,"[-106,-106]","[106,-106]",left,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.3433,,,40,0,40,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,0.7021,,,41,0,41,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[150,0],[0,150]]",diamond,green,vert,up,"[150,0]","[0,150]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.5012,,,42,0,42,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,106],[0,150]]",diamond,green,vert,up,"[-106,106]","[0,150]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.1541,,,43,0,43,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",circle,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.487,,,44,0,44,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",diamond,no_dis,hori,left,"[99999,99999]","[150,0]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.8159,,,45,0,45,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.7904,,,46,0,46,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-150,0],[106,106]]",circle,green,hori,left,"[-150,0]","[106,106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.8545,,,47,0,47,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-106,-106],[-150,0]]",circle,green,vert,up,"[-106,-106]","[-150,0]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.5131,,,48,0,48,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-106,-106],[0,-150]]",circle,red,hori,left,"[-106,-106]","[0,-150]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.9826,,,49,0,49,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[106,106]",,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,50,0,50,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-106,106],[106,-106]]",circle,green,vert,up,"[-106,106]","[106,-106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.8181,,,51,0,51,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[150,0],[0,150]]",diamond,green,hori,left,"[150,0]","[0,150]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.7144,,,52,0,52,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,150]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.1001,,,53,0,53,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[150,0]]",diamond,red,vert,up,"[-150,0]","[150,0]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.3831,,,54,0,54,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-106,-106],[-106,106]]",circle,green,vert,up,"[-106,-106]","[-106,106]",,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,55,0,55,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,150]]",circle,no_dis,hori,left,"[99999,99999]","[0,150]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.1016,,,56,0,56,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,150],[-106,106]]",circle,red,hori,left,"[0,150]","[-106,106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.6266,,,57,0,57,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-106,-106],[-150,0]]",circle,green,vert,up,"[-106,-106]","[-150,0]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.6486,,,58,0,58,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,2.7044,,,59,0,59,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[0,150],[-106,-106]]",circle,green,hori,left,"[0,150]","[-106,-106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.2847,,,60,0,60,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,-106],[106,106]]",diamond,green,hori,left,"[106,-106]","[106,106]",,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,,,,61,0,61,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,150],[106,-106]]",diamond,green,hori,left,"[0,150]","[106,-106]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.7658,,,62,0,62,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[150,0],[0,150]]",circle,green,hori,left,"[150,0]","[0,150]",left,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.1884,,,63,0,63,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,106],[0,150]]",diamond,red,vert,up,"[106,106]","[0,150]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.4623,,,64,0,64,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,150],[106,106]]",diamond,green,vert,up,"[0,150]","[106,106]",up,1,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.8382,,,65,0,65,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",left,0,,,,,,001,2025-03-11_12h18.42.489,SL_sali,2021.2.3,Win32,59.52380952,1.962,,,66,0,66,0,1,,,,,,,,
